group,iri,type,thesaurus,description,comments,examples,required
Management Vocabulary,http://purl.org/dc/terms/identifier,y,,,,,true
Management Vocabulary,http://purl.org/dc/elements/1.1/type,y,,,,,false
Management Vocabulary,http://purl.org/dc/terms/type,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/subtypeLiteral,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/subtype,y,,,,,false
Management Vocabulary,http://purl.org/dc/terms/title,y,,,,,false
Management Vocabulary,http://purl.org/dc/terms/modified,y,,,,,false
Management Vocabulary,http://ns.adobe.com/xap/1.0/MetadataDate,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/metadataLanguageLiteral,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/metadataLanguage,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/providerManagedID,y,,,,,false
Management Vocabulary,http://ns.adobe.com/xap/1.0/Rating,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/commenterLiteral,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/commenter,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/comments,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewerLiteral,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewer,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewerComments,y,,,,,false
Management Vocabulary,http://purl.org/dc/terms/available,y,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/hasServiceAccessPoint,y,,,,,false
Attribution Vocabulary,http://purl.org/dc/elements/1.1/rights,y,,,,,false
Attribution Vocabulary,http://purl.org/dc/terms/rights,y,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/Owner,y,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/UsageTerms,y,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/WebStatement,y,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/licenseLogoURL,y,,,,,false
Attribution Vocabulary,http://ns.adobe.com/photoshop/1.0/Credit,y,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/attributionLogoURL,y,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/attributionLinkURL,y,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/fundingAttribution,y,,,,,false
Attribution Vocabulary,http://purl.org/dc/elements/1.1/source,y,,,,,false
Attribution Vocabulary,http://purl.org/dc/terms/source,y,,,,,false
Agents Vocabulary,http://purl.org/dc/elements/1.1/creator,y,,,,,false
Agents Vocabulary,http://purl.org/dc/terms/creator,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/providerLiteral,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/provider,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/metadataCreatorLiteral,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/metadataCreator,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/metadataProviderLiteral,y,,,,,false
Agents Vocabulary,http://rs.tdwg.org/ac/terms/metadataProvider,y,,,,,false
Content Coverage Vocabulary,http://purl.org/dc/terms/description,y,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/caption,y,,,,,false
Content Coverage Vocabulary,http://purl.org/dc/elements/1.1/language,y,,,,,false
Content Coverage Vocabulary,http://purl.org/dc/terms/language,y,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/physicalSetting,y,,,,,false
Content Coverage Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,y,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,y,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/tag,y,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/freqHigh,new,,,,,false
Content Coverage Vocabulary,http://rs.tdwg.org/ac/terms/freqLow,new,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/LocationShown,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/WorldRegion,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryName,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/ProvinceState,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/City,y,,,,,false
Geography Vocabulary,http://iptc.org/std/Iptc4xmpExt/2008-02-29/Sublocation,y,,,,,false
,http://rs.tdwg.org/dwc/terms/continent,not new,,,,,
,http://rs.tdwg.org/dwc/terms/coordinatePrecision,not new,,,,,
,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,not new,,,,,
,http://rs.tdwg.org/dwc/terms/country,not new,,,,,
,http://rs.tdwg.org/dwc/terms/countryCode,not new,,,,,
,http://rs.tdwg.org/dwc/terms/county,not new,,,,,
